date,pricePerSquareMeter,price,size,floor,numberOfRooms,location,address,type
8 feb 2017,82 917 kr/m²,9 950 000 kr,120 m²,5 tr,4½ rum,Vasastan,Hagagatan 22,Lägenhet
8 feb 2017,82 353 kr/m²,5 600 000 kr,68 m²,2 tr,2 rum,Vasastan Rödabergen,Falugatan 23,Lägenhet
8 feb 2017,84 615 kr/m²,6 600 000 kr,78 m²,3 tr,2 rum,Vasastan,Ynglingagatan 26,Lägenhet
8 feb 2017,116 667 kr/m²,3 500 000 kr,30 m²,4 tr,1 rum,Vasastan,Birger Jarlsgatan 103B,Lägenhet
8 feb 2017,96 275 kr/m²,4 910 000 kr,51 m²,4 tr,2 rum,Vasastan,Birger Jarlsgatan 103B,Lägenhet
8 feb 2017,106 250 kr/m²,3 825 000 kr,36 m²,3 tr,1 rum,Vasastan,Rådmansgatan 75,Lägenhet
8 feb 2017,103 472 kr/m²,3 725 000 kr,36 m²,3 tr,2 rum,Vasastan,Norrtullsgatan 63,Lägenhet
8 feb 2017,102 982 kr/m²,5 870 000 kr,57 m²,3 tr,2 rum,Vasastan,Döbelnsgatan 53A,Lägenhet
8 feb 2017,95 213 kr/m²,8 950 000 kr,94 m²,4 tr,4 rum,Vasastan,Karlbergsvägen 66A,Lägenhet
7 feb 2017,100 000 kr/m²,9 500 000 kr,95 m²,2 tr,3 rum,Vasastan,Karlbergsvägen 29B,Lägenhet
7 feb 2017,90 152 kr/m²,11 900 000 kr,132 m²,3 tr,4 rum,Vasastan,Döbelnsgatan 25,Lägenhet
7 feb 2017,112 308 kr/m²,2 920 000 kr,26 m²,1 tr,1 rum,Vasastan,Torsgatan 70,Lägenhet
4 feb 2017,93 056 kr/m²,3 350 000 kr,36 m²,1 tr,2 rum,Vasastan,Ingemarsgatan 3A,Lägenhet
4 feb 2017,80 606 kr/m²,5 320 000 kr,66 m²,3 tr,2½ rum,Vasastan,Torbjörn Klockares gata 25,Lägenhet
4 feb 2017,88 889 kr/m²,9 600 000 kr,108 m²,6 tr,3½ rum,Vasastan,Idungatan 2,Lägenhet
3 feb 2017,78 615 kr/m²,5 110 000 kr,65 m²,3 tr,2 rum,Vasastan,Torsgatan 69,Lägenhet
3 feb 2017,87 402 kr/m²,11 100 000 kr,127 m²,3 tr,4 rum,Vasastan,Vanadisvägen 30,Lägenhet
3 feb 2017,106 286 kr/m²,3 720 000 kr,35 m²,3 tr,1 rum,Vasastan,Rehnsgatan 17,Lägenhet
3 feb 2017,101 685 kr/m²,9 050 000 kr,89 m²,1 tr,4 rum,Östermalm,Frejgatan 6,Lägenhet
2 feb 2017,78 082 kr/m²,5 700 000 kr,73 m²,2 tr,3 rum,Vasastan,Sveavägen 139,Lägenhet
2 feb 2017,96 809 kr/m²,4 550 000 kr,47 m²,2 tr,2 rum,Vasastan,Kungstensgatan 44,Lägenhet
2 feb 2017,86 719 kr/m²,5 550 000 kr,64 m²,2 tr,2½ rum,Vasastan,Sankt Eriksgatan 100,Lägenhet
